file_name,file_year,file_month,year,month,country,arrivals_country
tourism_2016_03.xls,2016,3,2015,3,İTALYA,28645
tourism_2016_03.xls,2016,3,2016,3,İTALYA,17391
tourism_2016_03.xls,2016,3,2015,3,İZLANDA,286
tourism_2016_03.xls,2016,3,2016,3,İZLANDA,167
tourism_2016_03.xls,2016,3,2015,3,LÜKSEMBURG,418
tourism_2016_03.xls,2016,3,2016,3,LÜKSEMBURG,265
tourism_2016_03.xls,2016,3,2015,3,PORTEKİZ,3210
tourism_2016_03.xls,2016,3,2016,3,PORTEKİZ,2277
tourism_2016_03.xls,2016,3,2015,3,YUNANİSTAN,57978
tourism_2016_03.xls,2016,3,2016,3,YUNANİSTAN,49250
tourism_2016_03.xls,2016,3,2015,3,ÇEK CUM.,4789
tourism_2016_03.xls,2016,3,2016,3,ÇEK CUM.,4167
tourism_2016_03.xls,2016,3,2015,3,POLONYA,10438
tourism_2016_03.xls,2016,3,2016,3,POLONYA,6268
tourism_2016_03.xls,2016,3,2015,3,MACARİSTAN,6003
tourism_2016_03.xls,2016,3,2016,3,MACARİSTAN,4299
tourism_2016_03.xls,2016,3,2015,3,NORVEÇ,13954
tourism_2016_03.xls,2016,3,2016,3,NORVEÇ,10514
tourism_2016_03.xls,2016,3,2015,3,SLOVAKYA,2919
tourism_2016_03.xls,2016,3,2016,3,SLOVAKYA,1781
tourism_2016_03.xls,2016,3,2015,3,A.B.D.,41463
tourism_2016_03.xls,2016,3,2016,3,A.B.D.,36398
tourism_2016_03.xls,2016,3,2015,3,AVUSTRALYA,4995
tourism_2016_03.xls,2016,3,2016,3,AVUSTRALYA,4079
tourism_2016_03.xls,2016,3,2015,3,JAPONYA,8057
tourism_2016_03.xls,2016,3,2016,3,JAPONYA,4150
tourism_2016_03.xls,2016,3,2015,3,KANADA,8925
tourism_2016_03.xls,2016,3,2016,3,KANADA,6542
